movie_title,word_count,lexical_diversity,sentiment,subjectivity,avg_sentence_length
10 Cloverfield Lane_1179933,16490,0.23286840509399637,0.004150930586337281,0.434264863260079,7.943187289359654
10 Things I Hate About You_0147800,16657,0.2825838986612235,0.07831930850952594,0.4834550589864594,8.4447261663286
101 Days of 101 Dalmatians_0249328,20014,0.2818527031078245,-0.0038473591854273764,0.4581598136711774,7.232046192710213
12 Angry Men_0118528,21546,0.19530307249605494,0.04959387976549866,0.5299562641365912,7.563004563004563
12 Monkeys_0114746,27557,0.27796929999637116,0.01651035275530869,0.48141700049535807,8.22633744855967
12 Years a Slave_2024544,27101,0.2531271908785654,0.08702771684952029,0.47994754566891984,8.887798495256789
127 Hours_1542344,16246,0.2972423981287702,0.056339797049851696,0.4537886623974105,10.237106918238993
13 13 13_2991516,17693,0.18770135081670716,-0.06370721245854233,0.46962442994357917,7.4379991593106345
1408_0450385,18427,0.3760243121506485,0.022094424068108288,0.5288903845482794,6.189505347593583
1492 Conquest of Paradise_0103594,20283,0.28166444805995167,0.0648609797469517,0.5072400266763004,7.847523219814241
15 Minutes_0179626,23241,0.2425455014844456,0.07273543181255485,0.4473549183341209,6.742345465049104
16 Blocks_0450232,23352,0.283187735525865,0.005067254079662159,0.39554464367332043,7.501767920282867
17 Again_0974661,16151,0.2983097021856232,0.04307131279866763,0.4682606230898162,6.352643856920684
1917_8579674,21334,0.2517108840348739,-0.016094758443987053,0.4057444359442961,7.3522727272727275
1976 l lection du Parti qu b cois_11327984,24320,0.2784950657894737,0.021115216982563915,0.4302368379919402,9.756255044390638
2 Broke Girls_1845307,14945,0.2724657075945132,-0.020559007609527676,0.5009515018578916,5.346909090909091
2 Guns a Grenade a Pizza Guy_1871996,20257,0.2788171989929407,0.03236869865630927,0.44516213039664376,6.904211956521739
2010 The Odyssey Continues_0235153,23194,0.2890402690350953,0.034877945201519905,0.4424259933697531,6.156026557711951
2012_1190080,22470,0.26097018246550957,0.031748602126722356,0.46402864115897635,7.616508152173913
20th Century Women_4385888,14795,0.280094626563028,0.03798334170151706,0.513243747451668,7.448068238835925
21 Grams_0315733,25443,0.26565263530244076,-0.025099224853646438,0.42047988605827996,7.949781659388647
21 Jump Street_1232829,19334,0.2690596875969794,0.05839579880323834,0.48173294332152383,7.779163314561544
22 July_7280898,20019,0.27224137069783705,0.08329015971402333,0.4111312414857872,6.04009647271631
25th Hour_0307901,22572,0.27161970583023215,0.028703720247266116,0.4569730299940254,7.4960026648900735
28 Days Later_0289043,17899,0.27018269177049,0.01253388465356548,0.4437600177600182,7.476627712854758
28 Days_0191754,25312,0.26129898862199746,0.02457149298036332,0.48191211566211567,7.2838188635708105
28 Weeks Later_0463854,15183,0.3158796021866561,0.0022168917227546117,0.4136852948567494,9.300798035604666
3 10 to Yuma_0381849,21680,0.265590405904059,0.0014814544654410896,0.41701353193226953,7.671112671112671
3 Godfathers_0040064,25638,0.24245260940791014,0.0573979992152261,0.46407526025173024,9.385792349726776
3 Idiots_1187043,68974,0.22156174790500768,0.10618154978040581,0.44676880067402874,9.912268085718395
30 Days of Night_0389722,21984,0.2708333333333333,-0.0034738028141002553,0.4843938799622487,18.40687919463087
30 Minutes or Less_1622547,21755,0.2467938404964376,-0.0022542059067698016,0.5126723903008313,7.260451227604512
30 Rock_0496424,5355,0.39514472455648925,0.15176805926176729,0.46996129771297546,7.098944591029023
3000_4759852,25435,0.2064084922351091,0.09162555698269985,0.4789678329460076,6.880681818181818
300_0416449,22320,0.25192652329749105,0.05272697971320022,0.499994726620711,9.507456327226246
40 Year Old Virgin_0887155,16493,0.24070817922755108,0.07873735801287836,0.513617807951329,6.397058823529412
42_0453562,24564,0.25028496987461324,0.0778633845410161,0.40409385738333115,7.710699717602761
47 Ronin_1335975,27978,0.27675316319965687,0.048275426011019626,0.5012759106866562,10.372968980797637
48 Hrs_0083511,19207,0.24506690269172698,0.05697094873495415,0.4431882412979978,6.792920353982301
50 50_4487264,18649,0.2703630221459596,0.05105494907668822,0.5039402513750338,7.051938276251412
500 Days of Summer_1022603,15607,0.2821810725956302,0.08735679465085947,0.5097453656122718,5.855973204317082
8MM_0134273,28342,0.24977065838684637,0.03745399762858902,0.4284638293850776,8.346153846153847
9 millimeter_0118542,28342,0.24977065838684637,0.03745399762858902,0.4284638293850776,8.346153846153847
9 to 5_0080319,20233,0.3148322048139179,-0.00011801228988729048,0.44845202020201974,8.43189368770764
99 Homes_2891174,16237,0.26470407094906695,0.06837548354423356,0.45505234876234846,6.842459983150801
A Beautiful Day in the Neighborhood IMDb_2901014,13456,0.2723692033293698,0.11412665872230422,0.5140093222830385,6.699154649428145
A Beautiful Mind_0268978,20882,0.2783258308591131,0.09081003988898727,0.4629064048800897,6.904290429042904
A Bucket of Blood_0112594,2756,0.363933236574746,0.030656805739271025,0.4801677934548309,11.520661157024794
A Child Is Born The Scottish Doctor_0899329,15885,0.23103556814604972,0.11320388987834863,0.4411978710994461,7.181407942238267
A Christmas Carol_0044008,19735,0.27276412465163413,0.08756837370393278,0.48285207161183674,10.814144736842104
A Christmas Story_0085334,21663,0.30799058302174215,-0.0015137023613340651,0.4880658389562015,8.547281323877069
A Clockwork Orange_0066921,14036,0.286406383585067,0.056962230922025264,0.47717784112906025,7.729074889867841
A Coriolanus rny k ban_2245685,20100,0.29965174129353234,0.0672562904148901,0.5401690861352512,9.76930548810102
